mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_max_iter,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.19978270530700684,0.026751786643773392,0.009562492370605469,0.0016684544839388124,lbfgs,3000,balanced,2.0,"{'solver': 'lbfgs', 'max_iter': 3000, 'class_weight': 'balanced', 'C': 2.0}",0.8017348148863027,0.8019624386646527,0.8116963200224445,0.8135642671217931,0.8083125837775491,0.8074540848945484,0.004877215061982661,11,0.8120771974739733,0.8119100395792749,0.8094572668443091,0.8092058774267225,0.8102062885420631,0.8105713339732684,0.0012081914498526464
0.19068942070007325,0.017453533609708693,0.007087087631225586,0.0015641278620360725,lbfgs,2000,balanced,2.0,"{'solver': 'lbfgs', 'max_iter': 2000, 'class_weight': 'balanced', 'C': 2.0}",0.8017348148863027,0.8019624386646527,0.8116963200224445,0.8135642671217931,0.8083125837775491,0.8074540848945484,0.004877215061982661,11,0.8120771974739733,0.8119100395792749,0.8094572668443091,0.8092058774267225,0.8102062885420631,0.8105713339732684,0.0012081914498526464
0.1995246410369873,0.02085636436220457,0.007837581634521484,0.0016504035398586176,lbfgs,1000,balanced,2.0,"{'solver': 'lbfgs', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 2.0}",0.8017348148863027,0.8019624386646527,0.8116963200224445,0.8135642671217931,0.8083125837775491,0.8074540848945484,0.004877215061982661,11,0.8120771974739733,0.8119100395792749,0.8094572668443091,0.8092058774267225,0.8102062885420631,0.8105713339732684,0.0012081914498526464
0.2098261833190918,0.017931412965972796,0.009754276275634766,0.0016204808868462376,lbfgs,1000,balanced,1.0,"{'solver': 'lbfgs', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 1.0}",0.8017304281325444,0.8019707247550851,0.8117158031734155,0.8135618317279217,0.8082882298388355,0.8074534035255605,0.004878321323653509,14,0.8120772279216771,0.8119154592705783,0.8094543738104301,0.8092033193757138,0.8102099124476589,0.8105720585652116,0.0012102955207071782
0.20091147422790528,0.0211243615960195,0.0075873851776123045,0.0014165509764743028,lbfgs,2000,balanced,1.0,"{'solver': 'lbfgs', 'max_iter': 2000, 'class_weight': 'balanced', 'C': 1.0}",0.8017304281325444,0.8019707247550851,0.8117158031734155,0.8135618317279217,0.8082882298388355,0.8074534035255605,0.004878321323653509,14,0.8120772279216771,0.8119154592705783,0.8094543738104301,0.8092033193757138,0.8102099124476589,0.8105720585652116,0.0012102955207071782
0.18571925163269043,0.036276243859733555,0.011256027221679687,0.003244015775612738,lbfgs,3000,,2.0,"{'solver': 'lbfgs', 'max_iter': 3000, 'class_weight': None, 'C': 2.0}",0.8016378188865346,0.8019458664837879,0.8116071846067521,0.8133845350540853,0.8086671771252221,0.8074485164312764,0.004859204345817938,16,0.8120714733056302,0.8118915882706796,0.8094550437761706,0.8091956756756757,0.810176018271793,0.8105579598599899,0.0012072621216212389
0.45778212547302244,0.054448696833468105,0.0096466064453125,0.0016007758078259654,liblinear,2000,balanced,0.5,"{'solver': 'liblinear', 'max_iter': 2000, 'class_weight': 'balanced', 'C': 0.5}",0.8017367645546396,0.8020063062022361,0.8116558924841797,0.8135408873406278,0.808296510177998,0.8074472721519363,0.0048534491627771955,17,0.8120726912137882,0.8119151852412428,0.8094565968785686,0.8092113589645984,0.8102098210886943,0.8105731306773784,0.0012068849185891124
0.42663145065307617,0.046387259568317254,0.010066413879394531,0.0010059408450653492,liblinear,1000,balanced,0.25,"{'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced', 'C': 0.25}",0.801727991047123,0.8020087432876576,0.8116593020355997,0.8135296845288195,0.8083072259110321,0.8074465893620463,0.00485312737857919,18,0.8120713819625183,0.8119188998611249,0.8094596117244005,0.8092072478111915,0.8102103996954702,0.810573508210941,0.0012077239026124372
0.40371479988098147,0.04932535448167998,0.007979917526245116,0.001843625730017086,liblinear,2000,balanced,0.25,"{'solver': 'liblinear', 'max_iter': 2000, 'class_weight': 'balanced', 'C': 0.25}",0.801727991047123,0.8020087432876576,0.8116593020355997,0.8135296845288195,0.8083072259110321,0.8074465893620463,0.00485312737857919,18,0.8120713819625183,0.8119188998611249,0.8094596117244005,0.8092072478111915,0.8102103996954702,0.810573508210941,0.0012077239026124372
0.432429838180542,0.02128921883334807,0.00962376594543457,0.0007744500320765555,liblinear,1000,,0.05,"{'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None, 'C': 0.05}",0.8013312335405344,0.80213254722706,0.8116895009196048,0.8133343659403347,0.8086778928582561,0.8074331080971578,0.004895304520343519,20,0.8119931313633608,0.8118501489456005,0.8094113132851161,0.8091371754853446,0.8101277502854968,0.8105039038729837,0.0012027773287932183
0.5868110179901123,0.10249391444304036,0.009059333801269531,0.0012851217240581103,liblinear,2000,balanced,2.0,"{'solver': 'liblinear', 'max_iter': 2000, 'class_weight': 'balanced', 'C': 2.0}",0.8017382268058926,0.8019658505842425,0.8116407930421773,0.813523839583528,0.8082546214034103,0.8074246662838501,0.004853838235067727,21,0.8120717168872619,0.8119148503164992,0.8094581499809669,0.8092133688618196,0.8102166121050627,0.8105749396303221,0.0012054207147489887
